reviewtext,rating
"[['never', 'got', 'this', 'item', 'but', 'gave', 'a', 'star', 'because', 'the', 'replies', 'from', 'the', 'supplier', 'was', 'great'], ['they', 'tried', 'to', 'send', 'the', 'item', 'more', 'than', 'once'], ['my', 'was', 'refunded', 'in', 'a', 'timely', 'manner', 'too'], ['it', 'was', 'a', 'shame', 'i', 'never', 'got', 'it', 'for', 'my', 'daughter', 'it', 'would', 'of', 'looked', 'great', 'with', 'her', 'outfit', 'for', 'dr'], ['seuss', 'week', 'at', 'school'], ['most', 'original'], ['maybe', 'next', 'time']]",1.0
"[['i', 'bought', 'this', 'product', 'a', 'little', 'over', 'a', 'year', 'ago'], ['now', 'that', 'i', 'am', 'done', 'with', 'it', 'i', 'wanted', 'to', 'sell', 'it'], ['i', 'put', 'it', 'on', 'ebay', 'and', 'craigslist'], ['they', 'had', 'their', 'lawyers', 'contact', 'the', 'sites', 'and', 'have', 'them', 'remove', 'the', 'listing'], ['apparently', 'in', 'the', 'tiny', '4point', 'font', 'disclaimers', 'on', 'the', 'package', 'it', 'says', 'that', 'the', 'license', 'is', 'not', 'transferable', 'so', 'you', 'cant', 'sell', 'it', 'as', 'a', 'used', 'item', 'after', 'youre', 'done', 'with', 'it'], ['total', 'crap']]",1.0
"[['have', 'they', 'lost', 'their', 'minds'], ['over', 'for', 'a', 'costume'], ['amazon', 'you', 'are', 'an', 'idiot'], ['this', 'is', 'an', 'inexpensive', 'costume'], ['it', 'better', 'include', 'a', 'meeting', 'with', 'tom', 'hanks', 'for', 'that', 'price']]",1.0
"[['this', 'would', 'have', 'worked', 'fine', 'if', 'the', 'buckles', 'had', 'bee', 'the', 'same', 'as', 'on', 'my', 'luggage', 'but', 'they', 'werent', 'so', 'i', 'had', 'no', 'use', 'for', 'the', 'thing']]",1.0
"[['i', 'ordered', 'the', 'jet', 'pack', 'for', 'my', 'year', 'old', 'grandson', 'for', 'halloween', 'to', 'go', 'with', 'his', 'buzz', 'lightyear', 'costume'], ['unfortunately', 'when', 'we', 'blew', 'up', 'the', 'jet', 'pack', 'the', 'day', 'before', 'halloween', 'and', 'my', 'grandson', 'wore', 'it', 'for', 'about', 'an', 'hour', 'it', 'began', 'to', 'deflate', 'quickly'], ['we', 'found', 'a', 'hole', 'but', 'were', 'unable', 'to', 'patch', 'it', 'up', 'so', 'that', 'it', 'stayed', 'inflated', 'since', 'the', 'break', 'was', 'in', 'a', 'crease', 'in', 'the', 'plastic', 'material'], ['luckily', 'i', 'was', 'able', 'to', 'find', 'and', 'purchase', 'another', 'jet', 'pack', 'at', 'a', 'nearby', 'store', 'in', 'my', 'city', 'which', 'held', 'up', 'fine', 'on', 'halloween']]",1.0
"[['yelp', 'i', 'guarantee', 'this', 'costume', 'will', 'rip', 'on', 'the', '1st', 'day', 'of', 'play'], ['it', 'is', 'really', 'cheaply', 'made'], ['its', 'the', 'same', 'cheap', 'costumes', 'that', 'you', 'find', 'in', 'walmart', 'for', 'bucks'], ['and', 'i', 'had', 'to', 'cut', 'out', 'a', 'nose', 'and', 'mouth', 'it', 'doesnt', 'give', 'them', 'a', 'place', 'to', 'breath', 'out', 'of']]",1.0
"[['great', 'fabric', 'and', 'tight', 'fit'], ['problem', 'is', 'that', 'if', 'you', 'are', 'over', '6ft', 'tall', 'then', 'all', 'under', 'armour', 'products', 'will', 'be', 'too', 'short', 'in', 'the', 'torso'], ['this', 'company', 'does', 'not', 'listen', 'to', 'the', 'customer']]",1.0
"[['el', 'vendedor', 'debe', 'revisar', 'las', 'opciones', 'me', 'enviaron', 'unos', 'calzados', 'de', 'recien', 'nacidos', 'y', 'seleccione', 'uno', 'de', 'ninos', 'mi', 'hijo', 'esta', 'muy', 'molesto']]",1.0
"[['these', 'shoes', 'run', 'so', 'big', 'and', 'the', 'size', 'is', 'very', 'confusing'], ['i', 'emailed', 'to', 'find', 'out', 'if', 'i', 'could', 'just', 'exchange', 'for', 'a', 'smaller', 'size', 'but', 'they', 'wont', 'do', 'that'], ['i', 'have', 'to', 'send', 'them', 'back', 'and', 'buy', 'another', 'pair'], ['no', 'thanks']]",1.0
"[['i', 'did', 'not', 'know', 'that', 'converse', 'stooped', 'that', 'low', 'to', 'get', 'their', 'products', 'made', 'in', 'vietnam', 'or', 'else', 'i', 'would', 'never', 'have', 'bought', 'them', 'for', 'my', 'young', 'nephew']]",1.0
