reviewtext,rating
"[['item', 'star', 'reply', 'supplier'], ['send', 'item'], ['refund', 'timely', 'manner'], ['shame', 'daughter', 'looked', 'outfit'], ['seuss', 'week', 'school'], ['original']]",1.0
"[['buy', 'product', 'ago'], ['sell'], ['ebay', 'craigslist'], ['lawyer', 'contact', 'site', 'remove', 'listing'], ['tiny', '4point', 'font', 'disclaimer', 'package', 'license', 'transferable', 'sell', 'item'], ['total', 'crap']]",1.0
"[['lose', 'mind'], ['costume'], ['amazon', 'idiot'], ['inexpensive', 'costume'], ['meeting', 'tom', 'price']]",1.0
"[['fine', 'buckle', 'luggage', 'werent']]",1.0
"[['jet', 'pack', 'grandson', 'halloween', 'buzz', 'lightyear', 'costume'], ['blow', 'jet', 'pack', 'halloween', 'grandson', 'wear', 'hour', 'deflate'], ['unable', 'patch', 'stay', 'inflate', 'break', 'crease', 'plastic', 'material'], ['luckily', 'purchase', 'jet', 'pack', 'nearby', 'store', 'city', 'hold', 'fine', 'halloween']]",1.0
"[['yelp', 'guarantee', 'costume', 'rip', '1st', 'play'], ['cheaply'], ['cheap', 'costume', 'walmart', 'buck'], ['cut', 'nose', 'mouth', 'doesnt', 'not_breath']]",1.0
"[['fabric', 'tight', 'fit'], ['6ft', 'tall', 'armour', 'product', 'short', 'torso'], ['company', 'listen', 'customer']]",1.0
"[['vendedor', 'debe', 'revisar', 'opciones', 'enviaron', 'unos', 'calzados', 'recien', 'nacidos', 'seleccione', 'uno', 'ninos', 'hijo', 'esta', 'muy', 'molesto']]",1.0
"[['shoe', 'size', 'confusing'], ['email', 'exchange', 'size', 'wont'], ['send', 'buy', 'pair']]",1.0
"[['converse', 'stoop', 'product', 'vietnam', 'buy', 'nephew']]",1.0
"[['buy', 'base', 'recommendation', 'friend', 'absolutely', 'fabric', 'cheezy', 'vega', 'type', 'shiny', 'fabric', 'strap', 'short'], ['fit'], ['front', 'closure']]",1.0
"[['card', 'slot', 'wallet', 'tight'], ['force', 'card', 'slot', 'impossible'], ['wallet', 'month', 'tear'], ['wallet']]",1.0
