reviewtext,rating
"[['bandheaviest', 'resistance', 'start', 'tear', 'black'], ['black', 'fine', 'exercise', 'start', 'rip'], ['color', 'simply', 'resistance'], ['minus', 'set', 'pair', 'handle', 'switch', 'handle', 'inconvenience', 'waist']]",1.0
"[['warning', 'review'], ['purchase', 'band', 'love'], ['handle', 'band', 'comfortable', 'hold'], ['quality'], ['stretch', 'plenty', 'tall', 'set', 'band'], ['band', 'star', 'workout', 'chance'], ['yellow', 'band', 'hardware', 'snap', 'leg'], ['thankfully', 'concrete', 'garage', 'floor', 'leg'], ['attach', 'photo', 'hardware', 'issue', 'handle', 'disconnect', 'amount', 'pull'], ['peg', 'clip', 'attach', 'band'], ['dont', 'not_waste', 'not_money'], ['cough', 'money', 'buy', 'dumbbell']]",1.0
"[['buy', 'walmart', 'price', 'amazon'], ['cleaning', 'rod', 'break', 'extension', 'plastic', 'handle'], ['buy', 'outers', 'write'], ['buy', 'individual', 'tipton', 'reputable', 'manufacturer', 'cleaning', 'kit']]",1.0
"[['kit', 'arrive'], ['disarray', 'spot'], ['inspect', 'belong', 'send'], ['feel', 'chintzy', 'cheap', 'kit'], ['didnt'], ['pack', 'send'], ['disappointment']]",1.0
"[['piece', 'crap'], ['black', 'push', 'rod', 'handle', 'crack', 'half', 'copper', 'bristle', 'fall', 'piece']]",1.0
"[['write', 'review', 'product', 'apartmost', 'workmanship', 'glue', 'tap', 'doublesided', 'tape', 'stick', 'item'], ['oppurtunity', 'product', 'countining', 'repair'], ['unsatisfied', 'item']]",1.0
"[['cheap', 'product'], ['start', 'loose', 'air', 'size', 'useable'], ['buy', 'product', 'china', 'local', 'store', 'price'], ['recommend', 'product']]",1.0
"[['lock', 'useless', 'glock', 'shotgun', 'barely', 'fit', 'awkwardly', 'sauer'], ['fit', 'ruger', 'revolver', 'barely'], ['bulky', 'lock', 'box'], ['sound', 'doesnt', 'not_fit', 'not_barely', 'not_fit', 'not_mention', 'not_scratch', 'not_gun'], ['claim', 'fit', 'gun', 'doesnt', 'not_fit', 'not_popular'], ['worse', '3rd', 'digit', 'combo', 'stuck', 'difficult', 'move'], ['totally', 'render', 'lock', 'totally', 'useless'], ['doenst', 'fit', 'fit', 'forever', 'roll', 'digit', 'code', 'unlock'], ['overrate', 'lock']]",1.0
"[['lock', 'jam', 'default', 'combination'], ['jam', 'count'], ['recommend']]",1.0
"[['bulky'], ['factor', 'bulky', 'fit', 'trigger', 'arhk', 'style', 'rifle'], ['rod', 'trigger'], ['infront', 'trigger'], ['doesnt', 'not_grab', 'not_tight'], ['design', 'lock']]",1.0
"[['husband', 'buy'], ['wait'], ['tarp', 'month', 'start', 'rust'], ['start', 'rust'], ['basically', 'waste', 'money'], ['buy', 'plastic', 'rocknroll', 'trike', 'kettler']]",1.0
"[['buy', 'trike', 'child'], ['easily', 'child', 'weight', 'lean', 'bit', 'forward'], ['money', 'waste', 'damage']]",1.0
"[['brother', 'dmt', 'diafold'], ['keychain'], ['extended', 'length', 'constant', 'angle'], ['suspect', 'durable', 'diafold', 'grit', 'heavy'], ['mine', 'rust', 'resistant', 'water', 'wash', 'metal', 'dust', 'accumulate', 'surface'], ['mini', 'sharp', 'heavy', 'edge', 'maintenance'], ['update', 'moldedon', 'flange', 'plastic', 'handle', 'break', 'unfold', 'minisharp'], ['force', 'apply'], ['piece'], ['item', 'dependable'], ['lower', 'rating', 'star']]",1.0
"[['recommend', 'item'], ['advertise', 'period', 'dull'], ['package', 'sharpen', 'knife', 'midway', 'knife', 'notice', 'smooth'], ['finger', 'abrasive', 'material', 'leave', 'sharpener'], ['total', 'product', 'useless', 'minute']]",1.0
"[['originalit', 'yellow', 'ferrari', 'color', 'picture', 'faithful', 'reality'], ['tool', 'excellent', 'expect', 'beware', 'knife'], ['true', 'keyring', 'short', 'knife', 'micro', 'scissors', 'updateafter', 'notice', 'keyring', 'wrong', 'knife', 'scissors'], ['knife', 'reality', 'nailclipper', 'scissor', 'clip', 'file', 'smooth', 'knife', 'novilty'], ['update', 'review', 'listen', 'knife', 'worth'], ['star', 'max'], ['actioni', 'update', 'rating', 'victronix', 'listen', 'reviewer', 'contact', '2o', 'ago', 'listen']]",1.0
"[['credit', 'card', 'knives', 'fold', 'size', 'credit', 'card'], ['access', 'card', 'spyderco', 'spydercard'], ['cost', 'blade'], ['cheap', 'cheap', 'cheap', 'incomparison'], ['favor', 'buy']]",1.0
"[['ball', 'air', 'straightout', 'box'], ['boy', 'unable', 'play', 'purchase', 'air', 'pump'], ['purchase', 'bring', 'local', 'store']]",1.0
"[['didnt', 'not_clean', 'not_werent', 'not_dirty', 'not_ruin', 'not_hair'], ['drop', 'wash', 'hair'], ['premixed', 'warm', 'water'], ['amount', 'rinsing', 'hair'], ['leave', 'hair', 'greasyoily'], ['hair', 'clean', 'horrid', 'stuff'], ['rewash', 'regular', 'shampoo'], ['dont', 'not_dare'], ['sit', 'shelf', 'collecting', 'dust']]",1.0
"[['finish', 'bottle', 'purchase', 'retail', 'store', 'bottle'], ['disappointed', 'watered', 'version', 'bronners', 'soap'], ['window', 'request', 'return', 'elapse', 'advise', 'purchase', 'soap', 'vender', 'reconsider'], ['pay', 'locally', 'enjoy', 'thick', 'soap']]",1.0
"[['purchase', 'review', 'pintrest', 'clean', 'pan'], ['palm', 'oil', '2nd', 'heck', 'write', 'junk', 'bottle'], ['creep']]",1.0
"[['product', 'pricey'], ['hair'], ['hair', 'dry', 'damage', 'hair'], ['youve', 'sensitive', 'sense', 'smell', 'smell', 'hemp'], ['friend']]",1.0
"[['theraband', 'ball', 'physical', 'therapy', 'quality'], ['issue', 'ball', 'receive', 'adapter', 'inflate', 'bicycle', 'pump', 'plug'], ['basically', 'unusable', 'inflate', 'plug', 'air', 'exit', 'inflated'], ['dont', 'not_adapter', 'not_bicycle', 'not_pump', 'not_sort', 'not_pump', 'not_fit', 'not_ball', 'not_inflate'], ['love', 'brand', 'recommend', 'ball', 'kit', 'pump', 'plug'], ['gaiam', 'ball', 'pleased']]",1.0
"[['thew', 'garbage', 'spend', 'night'], ['deflating', 'wake', 'repeatedly', 'reinflate'], ['careful', 'leaker', 'spend', 'miserable', 'night']]",1.0
"[['soso'], ['mount', 'cheap', 'design'], ['stepdads', 'bike', 'fell', 'break', '3rd', 'week'], ['dont', 'not_buy']]",1.0
"[['buy', '1st', 'bicycle', 'combowhereas', 'front', 'gray', 'hueunlike', 'blackgray', 'herethinking', 'buywrong'], ['product', 'shoddy', 'bell', 'product'], ['rear', 'firstthen', 'front', 'short', 'minor', 'drop'], ['bicycle', 'steal', 'bell', 'bike', 'lock', 'learn', 'trust', 'viability', 'bell', 'product'], ['cateyes', 'ize', 'product', 'fan'], ['learn', 'mistake', 'avoid', 'buying', 'product', 'cost']]",1.0
"[['buy', 'fam', 'didnt', 'not_hold', 'not_air', 'not_hour', 'not_half', 'not_stay', 'not_weight', 'not_middle'], ['doublechecked', 'plug'], ['remove', 'rock', 'sandy', 'pad', 'quality', 'tarp', 'underneath', 'quality', 'hadnt', 'weight', 'lose', 'air', 'shouldnt', 'matter'], ['love', 'carrying', 'bag'], ['yeah'], ['love', 'nice', 'plug', 'system', 'blow', 'seal', 'air', 'easy'], ['bad', 'matter', 'hold', 'air', 'immensely', 'inadequate'], ['return', 'return', 'camp', 'trip', 'shop', 'drop'], ['coleman'], ['arrgghh']]",1.0
"[['buy', 'mattress', 'week', 'ago', 'replace', 'model', 'coleman', 'queensized', 'air', 'mattress', 'start', 'leak'], ['week', 'mattress', 'develop', 'slow', 'leak', 'pump', 'week', 'trouble', 'doesnt', 'not_match', 'not_quality', 'not_model'], ['ago', 'develop', 'leak', 'deflate', 'hour', 'pitiful'], ['patch', 'mine', 'didnt'], ['buy', 'dont']]",1.0
"[['goggle', 'fussy'], ['learning', 'swim', 'frustrating', 'distract', 'kid'], ['properly', 'temporary'], ['eventually', 'water', 'sneak', 'darn', 'goggles'], ['learning', 'experience', 'kid', 'annoy', 'goggle', 'doesnt'], ['adult', 'version'], ['kid', 'mine'], ['disappointed', 'product']]",1.0
"[['love', 'goggles', 'boys', 'fan', 'typical', 'style', 'amazingly', 'easy', 'pair', 'crack', 'numerous', 'seal', 'season'], ['abuse', 'dont', 'not_occur', 'not_buy', 'not_pair', 'not_replace'], ['crack', 'update'], ['suntinted', 'goggles', 'perfect', 'guy', 'sun', 'sensitive', 'eye'], ['fit', 'wear', 'seal', 'jump', 'pool'], ['update', 'month', 'suntinted', 'goggles', 'month', 'weekly', 'week', 'summer'], ['pair', 'barely', 'guess', 'swim', 'lesson', 'start', 'water'], ['seal', 'crack', 'pair', 'goggles', 'treat', 'treat', 'swim', 'goggles'], ['recommend', 'goggles', 'dont', 'not_worth', 'not_buy', 'not_pair'], ['havent', 'people', 'review', 'goggles', 'dont'], ['idea']]",1.0
"[['average', 'size', 'razor'], ['buy', 'ago', 'daughter', 'rid', 'love'], ['buy', 'boy', 'size'], ['foot', 'deck'], ['recommend', 'razor']]",1.0
"[['aaawwww', 'didnt', 'not_fit', 'not_polaroid', 'not_instant', 'not_camera']]",1.0
"[['stove'], ['kid', 'model'], ['windscreen', 'cheaply', 'fall', 'stove', 'doesnt', 'not_support', 'not_rear', 'not_screen'], ['close', 'require', 'hunting', 'knife', 'deck', 'stuck', 'lid'], ['burner', 'fine', 'left', 'burner', 'flame', 'inefficiently'], ['feel', 'stove', 'piece', 'junk', 'coleman', 'feel', 'ashamed', 'sheet', 'metal', 'worksmanship']]",1.0
"[['brand', 'model', 'goggle'], ['puppy', 'gym', 'bag', 'chew', 'pair', 'replace'], ['buy', 'dont', 'not_defective', 'not_swim', 'not_leak'], ['soft', 'silicone', 'eye', 'start', 'wavy', 'finally', 'seal'], ['pair', 'gym'], ['brand', 'pair']]",1.0
"[['speedo', 'speedo', 'quality'], ['fog', 'continually', 'leak'], ['speedo', 'fan', 'buy', 'product']]",1.0
"[['american', 'iconic', 'brand', 'insulated', 'bottle'], ['insulating', 'property', 'american', 'model', 'handle', 'spot', 'weld', 'cheap'], ['buy']]",1.0
"[['original', 'model', '24oz', 'food', 'jar', 'sell', 'pick'], ['impress', 'labeling', 'promise', 'liquid', 'hot', '24hrs'], ['temp', 'boiling', 'water'], ['8pm', 'preheat', 'bottle', 'fill', 'boil', 'liquid'], ['seal', 'securely'], ['8am', 'morning', '12hrs', 'typical', 'water', 'temperature'], ['leave', 'plastic', 'container'], ['packaging', 'explicitly', 'liquid', 'hot', '24hrs', 'cold', '32hrs'], ['false'], ['leak'], ['water', 'cold', 'bottle', 'hour'], ['notice', 'bottle', 'noticeably', 'warm', 'touch', 'fill', 'liquid'], ['insulated', 'bottle', 'lot', 'heat'], ['dunno'], ['insulate'], ['introduce', 'costcutting', 'manufacture', 'outsource', 'china', 'lose', 'consistency', 'customer', 'report', 'dud'], ['recipient', 'lemon'], ['claim', 'stanleypmi', 'false', 'experience', 'gap', 'quality', 'stanley', 'advertises', 'deliver']]",1.0
"[['stanley', 'thermos', 'build', 'tank'], ['pick', 'ago', 'shock', 'flimsy'], ['american', 'stanley', 'veneer', 'absolute', 'chinese', 'junk', 'build'], ['disappointed', 'american', 'company', 'succumb', 'economic', 'pressure', 'build', 'junk'], ['business', 'ruin', 'reputation'], ['dont', 'not_waste', 'not_money', 'not_company', 'not_soul', 'not_die', 'not_ago']]",1.0
"[['complete', 'junk'], ['product', 'simply', 'hot', 'drink', 'hot', 'cold', 'drink', 'cold'], ['pmi', 'people', 'buy', 'aladdin', 'idea'], ['design', 'product', 'pray', 'god', 'contract', 'manufacturer', 'build', 'product', 'correctly'], ['pmi', 'aladdin', 'factory', 'people', 'decide', 'ship', 'job', 'china', 'charge', 'price'], ['quality', 'suffer', 'folk'], ['fool', 'warranty', 'buy', 'vintage', 'ebay'], ['quality', 'night'], ['vintage', 'stanley', 'build'], ['pmi', 'stanley', 'history', 'marketing', 'ploy', 'steal', 'quality', 'original']]",1.0
"[['folk', 'fit', 'write', 'review', 'dont', 'not_product'], ['feel', 'review', 'accurate', 'sense', 'quality', 'reliability', 'dependability', 'product', 'buy'], ['cost', 'factor', 'product', 'warranty', 'company', 'handle'], ['product', 'classic', 'purchase', 'base', 'prior', 'reputation'], ['stainless', 'steel', 'foam', 'insulate', 'vacuum', 'bottle', 'replacement'], ['friend', 'shanty', '34its', 'stanley'], ['34however', 'shop', 'alter', 'statement'], ['review', 'star', 'lot', 'unhappy', 'purchaser', 'buy', 'traditional', 'american', 'quality', 'chinese', 'trash'], ['buyer', 'pay', 'quality', 'reputation', 'stupid', 'buy', 'junk'], ['review'], ['future', 'thermos', 'buy']]",1.0
"[['stable'], ['circle', 'frame', 'create', 'flat', 'circle'], ['foot', 'floor', 'moment'], ['stable', 'safe'], ['bounce']]",1.0
"[['instruction', 'literally', 'job', 'require', 'adult'], ['idea', 'adult', 'house'], ['needless', 'sit', 'couch', 'waiting', 'adult'], ['husband', 'hour'], ['piece', 'finally'], ['smell', 'overwhelming'], ['pretty', 'highly', 'flammable', 'burst', 'flame', 'minute'], ['34keep', 'flame34'], ['34do', 'match', 'room34']]",1.0
"[['buy', 'nephew'], ['jump', 'jump', 'leg', 'slowly', 'bend', 'storage', 'position', 'constantly', 'reposition'], ['return']]",1.0
"[['package'], ['provided', 'battery'], ['buy', 'battery', 'didnt'], ['power'], ['display'], ['return', 'return', 'policy', 'amazon']]",1.0
"[['sensor'], ['period'], ['instal', 'bike', 'computer'], ['adjustmentthis', 'sense', 'wheel', 'motion'], ['avoid']]",1.0
"[['fine', 'week'], ['sense', 'sensor'], ['move', 'magnet', 'sensor', 'hear', 'internal', 'reed', 'switch', 'click', 'openclose'], ['computer', 'wasnt', 'not_detect'], ['computer', 'manually'], ['didnt', 'not_detect', 'not_sensor']]",1.0
