reviewtext,rating
"[['instal', 'game', 'struggle', 'game', 'window', 'live', 'bug'], ['championship', 'race', 'car', 'unlock', 'buy', 'addon', 'game'], ['pay', 'dollar', 'game'], ['dont', 'not_idea', 'not_pay', 'not_playing'], ['notice', 'improvement', 'physic', 'graphic', 'compare', 'dirt'], ['toss', 'garbage', 'vow', 'buy', 'codemasters', 'game'], ['arcade', 'style', 'rallyracing', 'game'], ['continue', 'richard', 'burn'], ['httpwww'], ['amazon'], ['comrichardburnsrallypcdpb000c97156refsr_1_1'], ['ieutf8qid1341886844sr81keywordsrichardburnsrallythank', 'review'], ['enjoy', 'rate', 'helpful']]",1.0
"[['1st', 'shipment', 'receive', 'book', 'game'], ['2nd', 'shipment', 'fake'], ['game', 'arrive', 'wrong', 'inside', 'seal', 'box'], ['contact', 'codemasters', 'send', 'picture', 'dvd', 'content'], ['fake', 'dvd'], ['return', 'bye']]",1.0
"[['piece', 'dog', 'game'], ['microsoft', 'doesnt'], ['cue', 'apple'], ['log', 'game', 'jump', 'series', 'hoop'], ['accomplish'], ['disappointment', 'microsoft', 'buy', 'game', 'window', 'live', 'game'], ['simple', 'arcade', 'drive', 'game', 'boy', 'visit'], ['dont', 'not_buy'], ['hire', 'consultant', 'game', 'buy']]",1.0
"[['buy', 'didnt'], ['gift', 'recipient', 'wasnt', 'not_solve'], ['game', 'fail']]",1.0
"[['crash', 'vista'], ['codemasters', 'dont', 'not_support', 'not_window'], ['internet']]",1.0
"[['game', 'ripoff'], ['terrain', 'track', 'feature', 'dirt'], ['graphic'], ['worth', 'money']]",1.0
"[['game', 'bug', 'landfirst', 'instal', 'require', 'window', 'market', 'software'], ['voice', 'sound'], ['windowed', 'mode'], ['everytime', 'track', 'crash', 'computer', 'bsod'], ['codemasters', 'dont', 'not_rush', 'not_game'], ['game'], ['colin'], ['alive', 'embarrass']]",1.0
"[['dirt'], ['suspicious', 'game', 'require', 'continuous', 'internet', 'play'], ['bait', 'set', 'naive', 'prey', 'fall'], ['honestly', 'personal', 'collect'], ['dont', 'not_care', 'not_publicly'], ['assurance', 'privacy', 'protection', 'hollow', 'close', 'oversight'], ['knowingly', 'step', 'multiplayer', 'server', 'track', 'type', 'continuous', 'spying'], ['carrot', 'stick', 'security'], ['require', 'internet', 'window', 'live', 'play'], ['annoy', 'interface'], ['continuous', 'reminder', 'upload', 'download', 'select'], ['setting', 'dont', 'not_session'], ['set', 'race'], ['irritate', 'music'], ['unlock'], ['career', 'mode', 'pointless', 'game', 'setup', 'irritating'], ['video', 'stutter', 'equipment'], ['eye', 'candy'], ['plenty', 'game', 'mode'], ['track'], ['fairly', 'variety', 'car'], ['scale', 'difficulty', 'level', 'casual', 'advance'], ['franchise', 'continue', 'soley', 'purpose', 'farm', 'user', 'money'], ['control', 'onoff', 'switch'], ['worth'], ['entertainment'], ['opinion']]",1.0
"[['game', 'star'], ['game', 'crash', 'startup', 'game', 'codemasters', 'absolutely', 'correct'], ['gear', 'pun', 'intend', 'dont', 'not_folk', 'not_report', 'not_isnt', 'not_occasional'], ['assume', 'replicate', 'dont', 'not_care'], ['lack', 'codemasters', 'fan', 'uninstalling', 'rapture', '3d'], ['instal', 'vista', 'didnt', 'not_shame', 'not_review', 'not_racing']]",1.0
"[['wii', 'rockband'], ['usb', 'hub', 'simply', 'refuse', 'detect', 'game'], ['cosmetically', 'microphone'], ['bit', 'ugly'], ['wary', 'compatibility', 'issue']]",1.0
"[['bait', 'switch', 'betrayal', 'fanbase', 'videogaming', 'history', 'hated', 'game'], ['amazon', 'customer', 'base', '34tale', 'turd34', 'relation', 'abomination', '34quality34', 'lackthereofgameplay', 'utterly', 'challengeless'], ['lobotomy', 'patient', 'drooling', 'baby', 'feces', 'fill', 'diaper', 'individual', 'severe', 'syndrome', 'easily', 'complete', 'game', 'single', 'sit', 'minimal', 'effort'], ['mash', 'button', '34spam34', 'control', 'pc', 'gamers', 'youll', 'eventually', 'complete', 'atrocious', 'slap', 'disney', 'level', 'aonuma', 'dreck'], ['graphic', 'hideous', 'vomit', 'induce', 'ridiculous', 'teletubbiesesque', 'bait', 'switch', 'originally', 'promise', 'spaceworld', 'realistic', 'style', 'epic', 'cool', 'beautiful', 'graphic', 'decidedly', 'lord', 'style', 'flare', 'ugly', 'gaudy', 'white', 'wand', 'wacker', 'nintendo', 'polish', 'turd', 'release'], ['shame'], ['sound', 'redeemable', 'inspiring', 'aonuma', 'dud', 'ocean', 'music', 'compose', 'koji', 'kondo'], ['detestable', 'saturday', 'morning', 'cartoon', 'level', 'kiddy', 'drivel'], ['soccer', 'mom', 'grandparent', 'approve'], ['zelda', 'fan', 'vomit', 'level', 'disrespect', 'nintendo', 'stoop', 'insult'], ['theme', 'total', 'rip', 'kevin', 'costners', 'water', 'extent', 'costner', 'lawsuit', 'nintendo', 'royalty', 'desire'], ['needless', 'watery', 'environment', 'true', 'zelda', 'fan', 'forward', 'pick', 'zelda', 'game'], ['green', 'forest', 'field', 'hyrule', 'proper', 'watery', 'grave', 'sit', 'atop', 'aonumas', 'child', 'learn', 'bathe', 'aonuma', 'inspire', 'zelda', 'giant', 'bathing', 'simulator', 'wand', 'wacker'], ['nintendo', 'fire', 'eiji', 'aonuma', 'zelda', 'team', 'people', 'develop', 'zelda', 'series', 'return', 'health'], ['commentary', 'online', 'game', 'journalist', 'professional', 'liar', 'attempt', 'rewrite', 'history', 'legend', 'celda', 'wand', 'wacker', 'hated', 'videogame', 'betrayal', 'fanbase', 'game', 'history'], ['nintendo', 'miyamoto', 'eiji', 'aonumas', 'vince', 'mcmahon', 'esque', '34screw'], ['true', 'zelda', 'fanbase', 'true', 'zelda', 'fanbase', 'refer', 'scumbag', 'sycophant', 'populate', 'online', 'gaming', 'message', 'forum', 'market', 'determine', 'videogames', 'massive', 'massive', 'failure', 'true', 'zelda', 'fan', 'speak', 'loud'], ['wand', 'wacker', 'piece', 'dog', 'excrement', 'original', 'gamecube', 'release', 'wii', 'hd', 'rerelease', 'envision', 'legend', 'zelda', 'series', 'wand', 'wacker', 'flop', 'mightily', 'benedict', 'arnold', 'rosenbergs', 'esque', 'betrayal', 'destine'], ['rephrase', 'quote', 'ridley', 'scott', 'gladiator', '34marcus', 'aurelius', 'dream', 'zelda'], ['34we', 'lead', 'epic', 'cool', 'badass', 'spaceworld', 'realistically', 'zelda', 'gamecube', 'bait', 'switch', 'hideously', 'deform', 'celda', 'wand', 'wacker', 'debut', 'boo', 'hiss', 'worldwide', 'massive', 'internet', 'pour', 'nintendos', 'damage', 'control', 'brainwash', 'leave', 'dishonest', 'internet', 'forum', 'game', 'community', 'wake', 'pretend', 'love', 'wand', 'wacker', 'shill', 'damage', 'control', 'nintendo', 'zelda', 'fan', 'abandon', 'nintendo', 'betrayal', 'console', 'pc', 'game', 'havent', 'simply', 'upped', 'leave', 'gaming', 'disgust', 'nasty', 'unnecessary', 'debacle', 'betrayal', 'zeldas', 'true', 'fan'], ['eiji', 'aonuma', 'hack', 'talent', 'jimmy', 'fallon', 'japan', 'enable', 'touch', 'shigeru', 'miyamoto', 'ruin', 'zelda', 'series', 'reign', 'create', 'embarrassment', 'majoras', 'mask'], ['aonumas', 'game', '34marvelous34', 'fail', 'marvelously'], ['credential', 'zelda', 'series', 'insanely', 'nintendo', 'drive', 'zelda', 'sale', 'figure', 'ground', 'boring', 'puzzle', 'fill', 'bad', 'npc', 'fill', 'faux', 'zelda', 'game'], ['truth', 'matter', 'zelda', 'suppose', 'arcade', 'action', 'adventure', 'sword', 'sorcery', 'game', 'rpg', 'element', 'throw', 'measure'], ['aonuma', 'completely', 'butcher', 'formula', 'favor', 'boring', 'garbage', 'gameplay', 'elements', 'prefer', 'market', 'effort', 'version', 'zelda', 'bomba', 'discount', 'gaming', 'bin', 'quality', 'trash', 'belongs'], ['anycase', 'reiterate', 'set', 'stone', 'morewand', 'wacker', 'offer', 'literally', 'gameplay', 'challenge', 'whatsoever', 'complete', 'lobotomy', 'patient', 'typical', 'aonuma', 'offering'], ['conclusion', 'rating', 'turd', 'star', 'amazon', 'system', 'set']]",1.0
